,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
1078,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1079,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1080,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1081,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1082,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1083,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1084,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1085,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1086,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1087,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1088,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1089,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1090,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1091,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1092,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1093,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1094,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1095,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1096,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1097,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1098,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1099,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1100,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1101,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1102,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1103,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1104,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1105,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1106,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1107,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1108,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1109,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1110,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1111,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1112,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1113,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1114,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1115,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1116,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1117,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1118,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1119,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1120,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1121,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1122,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1123,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1124,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1125,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1126,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1127,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1128,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1129,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1130,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1131,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1132,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1133,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1134,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1135,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1136,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1137,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1138,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1139,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1140,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1141,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1142,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1143,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1144,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1145,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1146,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1147,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1148,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1149,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1150,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1151,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1152,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1153,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1154,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1155,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1156,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1157,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1158,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1159,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1160,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1161,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1162,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1163,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1164,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1165,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1166,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1167,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1168,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1169,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1170,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1171,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1172,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1173,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1174,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
