,Address,Area,Bathrooms,Possession,Price,Project Name,Rooms,Status
1511,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1512,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1513,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1514,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1515,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1516,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1517,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1518,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1519,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1520,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1521,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1522,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1523,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1524,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1525,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1526,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1527,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1528,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1529,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1530,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1531,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1532,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1533,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1534,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1535,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1536,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1537,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1538,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1539,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1540,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1541,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1542,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1543,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1544,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1545,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1546,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1547,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1548,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1549,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1550,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1551,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1552,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1553,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1554,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1555,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1556,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1557,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1558,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1559,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1560,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1561,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1562,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1563,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1564,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1565,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1566,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1567,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1568,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1569,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1570,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1571,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1572,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1573,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1574,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1575,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1576,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1577,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1578,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1579,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1580,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1581,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1582,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1583,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1584,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1585,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1586,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1587,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1588,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1589,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1590,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1591,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1592,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1593,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1594,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1595,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1596,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1597,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1598,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1599,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1600,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1601,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1602,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1603,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1604,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1605,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1606,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1607,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1608,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1609,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1610,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1611,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1612,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1613,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1614,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1615,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1616,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1617,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1618,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1619,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1620,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1621,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1622,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1623,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1624,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1625,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1626,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1627,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1628,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1629,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1630,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1631,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1632,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1633,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1634,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1635,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1636,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1637,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1638,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1639,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1640,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1641,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1642,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1643,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1644,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1645,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1646,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1647,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1648,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1649,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1650,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1651,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1652,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1653,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1654,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1655,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1656,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1657,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1658,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1659,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1660,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1661,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1662,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1663,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1664,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1665,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1666,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1667,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1668,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1669,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1670,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1671,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1672,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1673,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1674,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1675,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1676,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1677,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1678,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1679,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1680,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1681,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1682,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1683,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1684,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1685,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1686,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1687,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1688,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1689,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1690,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1691,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1692,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1693,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1694,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1695,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1696,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1697,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1698,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1699,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1700,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1701,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1702,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1703,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1704,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1705,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1706,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1707,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1708,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1709,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1710,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1711,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1712,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1713,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1714,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1715,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1716,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1717,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1718,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1719,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1720,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1721,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1722,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1723,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1724,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1725,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1726,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1727,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1728,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1729,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1730,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1731,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1732,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1733,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1734,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1735,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1736,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1737,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1738,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1739,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1740,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1741,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1742,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1743,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1744,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1745,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1746,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1747,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1748,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1749,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1750,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1751,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1752,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1753,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1754,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1755,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1756,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1757,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1758,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1759,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1760,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1761,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1762,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1763,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1764,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1765,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1766,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1767,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1768,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1769,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1770,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1771,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1772,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1773,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1774,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1775,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1776,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1777,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1778,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1779,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1780,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1781,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1782,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1783,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1784,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
1785,B T Kawde Road,1500,3 Bathrooms,Not Available,1.2,citadel empress society,3,Ready to move
1786,Hinjewadi,1065,2 Bathrooms,Possession by Sep 2020,48,Not Available,2,Under Construction
1787,Punawale,900,2 Bathrooms,Possession by Nov 2019,45,SAI PARADICE PUNAWALE,2,Under Construction
1788,Hinjewadi,1500,Not Available,Not Available,18.75,Realty homes nere,Not Available,New
1789,NIBM Annex Mohammadwadi,1020,2 Bathrooms,Possession by Nov 2020,53.04,Not Available,2,Under Construction
1790,Hinjewadi,1188,2 Bathrooms,Not Available,63.55,Not Available,2,Ready to move
1791,Baner Balewadi road,1232,2 Bathrooms,Not Available,87,Not Available,2,Ready to move
1792,Waksai,2400,3 Bathrooms,Not Available,1.67,Not Available,3,Ready to move
1793,Lohegaon,1531,3 Bathrooms,Possession by Apr 2020,50,Not Available,3,Under Construction
1794,Wagholi,885,2 Bathrooms,Possession by Dec 2024,43.42,Not Available,2,Under Construction
1795,SangavadeNere Road,2000,Not Available,Not Available,14,Bhoomi Space Darumbre,Not Available,New
1796,Aundh,1303,3 Bathrooms,Not Available,1.48,Not Available,3,Ready to move
1797,Hinjewadi,676,2 Bathrooms,Possession by May 2022,51,Not Available,2,Under Construction
1798,Mamurdi,795,2 Bathrooms,Possession by Feb 2023,37,Not Available,2,Under Construction
1799,Moshi,750,2 Bathrooms,Possession by Aug 2020,35,Not Available,2,Under Construction
1800,Hinjewadi,774,2 Bathrooms,Possession by Nov 2019,35.59,Saheel Itrend Homes,2,Under Construction
1801,Punawale,560,2 Bathrooms,Possession by Nov 2025,52.98,Not Available,2,Under Construction
1802,Ravet,808,3 Bathrooms,Possession by Nov 2019,90.45,Not Available,3,Under Construction
1803,Hinjewadi,996,2 Bathrooms,Not Available,45.89,Not Available,2,Ready to move
1804,Kharadi,1087,2 Bathrooms,Not Available,88,Not Available,2,Ready to move
